country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Dominica,DM,DMA,212,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,84,Total,Units,Index,,Free,,Total
Dominica,DM,DMA,212,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,84,Total,Units,Index,,Free,,Total
Dominica,DM,DMA,212,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,83,Total,Units,Index,,Free,,Total
Dominica,DM,DMA,212,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,82,Total,Units,Index,,Free,,Total
Dominica,DM,DMA,212,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,79,Total,Units,Index,,Free,,Total
Dominica,DM,DMA,212,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,81,Total,Units,Index,,Free,,Total
Dominica,DM,DMA,212,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,79,Total,Units,Index,,Free,,Total
Dominican Republic,DO,DOM,214,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,79,Total,Units,Index,,Free,,Total
Dominican Republic,DO,DOM,214,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,82,Total,Units,Index,,Free,,Total
Dominican Republic,DO,DOM,214,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,83,Total,Units,Index,,Free,,Total
Dominican Republic,DO,DOM,214,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,84,Total,Units,Index,,Free,,Total
Dominican Republic,DO,DOM,214,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,85,Total,Units,Index,,Free,,Total
Dominican Republic,DO,DOM,214,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,87,Total,Units,Index,,Free,,Total
Dominican Republic,DO,DOM,214,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,86,Total,Units,Index,,Free,,Total
Ecuador,EC,ECU,218,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,69,Total,Units,Index,,Free,,Total
Ecuador,EC,ECU,218,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,75,Total,Units,Index,,Free,,Total
Ecuador,EC,ECU,218,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,80,Total,Units,Index,,Free,,Total
Ecuador,EC,ECU,218,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,79,Total,Units,Index,,Free,,Total
Ecuador,EC,ECU,218,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,81,Total,Units,Index,,Free,,Total
Ecuador,EC,ECU,218,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,82,Total,Units,Index,,Free,,Total
Ecuador,EC,ECU,218,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,79,Total,Units,Index,,Free,,Total
Egypt,EG,EGY,818,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,72,Total,Units,Index,,Free,,Total
Egypt,EG,EGY,818,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,75,Total,Units,Index,,Free,,Total
Egypt,EG,EGY,818,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,81,Total,Units,Index,,Free,,Total
Egypt,EG,EGY,818,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,80,Total,Units,Index,,Free,,Total
Egypt,EG,EGY,818,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,81,Total,Units,Index,,Free,,Total
Egypt,EG,EGY,818,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,81,Total,Units,Index,,Free,,Total
Egypt,EG,EGY,818,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,81,Total,Units,Index,,Free,,Total
El Salvador,SV,SLV,222,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,76,Total,Units,Index,,Free,,Total
El Salvador,SV,SLV,222,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,77,Total,Units,Index,,Free,,Total
El Salvador,SV,SLV,222,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,81,Total,Units,Index,,Free,,Total
El Salvador,SV,SLV,222,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,81,Total,Units,Index,,Free,,Total
El Salvador,SV,SLV,222,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,82,Total,Units,Index,,Free,,Total
El Salvador,SV,SLV,222,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,79,Total,Units,Index,,Free,,Total
El Salvador,SV,SLV,222,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,80,Total,Units,Index,,Free,,Total
Equatorial Guinea,GQ,GNQ,226,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,36,Total,Units,Index,,Free,,Total
Equatorial Guinea,GQ,GNQ,226,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,40,Total,Units,Index,,Free,,Total
Equatorial Guinea,GQ,GNQ,226,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,45,Total,Units,Index,,Free,,Total
Equatorial Guinea,GQ,GNQ,226,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,43,Total,Units,Index,,Free,,Total
Equatorial Guinea,GQ,GNQ,226,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,47,Total,Units,Index,,Free,,Total
Equatorial Guinea,GQ,GNQ,226,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,48,Total,Units,Index,,Free,,Total
Equatorial Guinea,GQ,GNQ,226,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,49,Total,Units,Index,,Free,,Total
Eritrea,ER,ERI,232,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,40,Total,Units,Index,,Free,,Total
Eritrea,ER,ERI,232,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,46,Total,Units,Index,,Free,,Total
Eritrea,ER,ERI,232,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,47,Total,Units,Index,,Free,,Total
Eritrea,ER,ERI,232,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,49,Total,Units,Index,,Free,,Total
Eritrea,ER,ERI,232,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,50,Total,Units,Index,,Free,,Total
Eritrea,ER,ERI,232,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,51,Total,Units,Index,,Free,,Total
Eritrea,ER,ERI,232,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,52,Total,Units,Index,,Free,,Total
Estonia,EE,EST,233,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,83,Total,Units,Index,,Free,,Total
Estonia,EE,EST,233,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,87,Total,Units,Index,,Free,,Total
Estonia,EE,EST,233,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,88,Total,Units,Index,,Free,,Total
Estonia,EE,EST,233,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,89,Total,Units,Index,,Free,,Total
Estonia,EE,EST,233,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,90,Total,Units,Index,,Free,,Total
Estonia,EE,EST,233,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,90,Total,Units,Index,,Free,,Total
Estonia,EE,EST,233,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,90,Total,Units,Index,,Free,,Total
Swaziland,SZ,SWZ,748,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,66,Total,Units,Index,,Free,,Total
Swaziland,SZ,SWZ,748,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,73,Total,Units,Index,,Free,,Total
Swaziland,SZ,SWZ,748,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,73,Total,Units,Index,,Free,,Total
Swaziland,SZ,SWZ,748,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,75,Total,Units,Index,,Free,,Total
Swaziland,SZ,SWZ,748,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,76,Total,Units,Index,,Free,,Total
Swaziland,SZ,SWZ,748,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,76,Total,Units,Index,,Free,,Total
Swaziland,SZ,SWZ,748,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,73,Total,Units,Index,,Free,,Total
Ethiopia,ET,ETH,231,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,17,Total,Units,Index,,Free,,Total
Ethiopia,ET,ETH,231,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,24,Total,Units,Index,,Free,,Total
Ethiopia,ET,ETH,231,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,37,Total,Units,Index,,Free,,Total
Ethiopia,ET,ETH,231,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,44,Total,Units,Index,,Free,,Total
Ethiopia,ET,ETH,231,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,47,Total,Units,Index,,Free,,Total
Ethiopia,ET,ETH,231,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,48,Total,Units,Index,,Free,,Total
Ethiopia,ET,ETH,231,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,48,Total,Units,Index,,Free,,Total
Fiji,FJ,FJI,242,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,77,Total,Units,Index,,Free,,Total
Fiji,FJ,FJI,242,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,79,Total,Units,Index,,Free,,Total
Fiji,FJ,FJI,242,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,80,Total,Units,Index,,Free,,Total
Fiji,FJ,FJI,242,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,80,Total,Units,Index,,Free,,Total
Fiji,FJ,FJI,242,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,79,Total,Units,Index,,Free,,Total
Fiji,FJ,FJI,242,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,79,Total,Units,Index,,Free,,Total
Fiji,FJ,FJI,242,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,79,Total,Units,Index,,Free,,Total
Finland,FI,FIN,246,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,94,Total,Units,Index,,Free,,Total
Finland,FI,FIN,246,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,93,Total,Units,Index,,Free,,Total
Finland,FI,FIN,246,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,94,Total,Units,Index,,Free,,Total
Finland,FI,FIN,246,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,95,Total,Units,Index,,Free,,Total
Finland,FI,FIN,246,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,93,Total,Units,Index,,Free,,Total
Finland,FI,FIN,246,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,94,Total,Units,Index,,Free,,Total
Finland,FI,FIN,246,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,93,Total,Units,Index,,Free,,Total
France,FR,FRA,250,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,94,Total,Units,Index,,Free,,Total
France,FR,FRA,250,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,95,Total,Units,Index,,Free,,Total
France,FR,FRA,250,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,95,Total,Units,Index,,Free,,Total
France,FR,FRA,250,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,95,Total,Units,Index,,Free,,Total
France,FR,FRA,250,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,95,Total,Units,Index,,Free,,Total
France,FR,FRA,250,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,95,Total,Units,Index,,Free,,Total
France,FR,FRA,250,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,95,Total,Units,Index,,Free,,Total
Gabon,GA,GAB,266,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,44,Total,Units,Index,,Free,,Total
Gabon,GA,GAB,266,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,48,Total,Units,Index,,Free,,Total
Gabon,GA,GAB,266,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,57,Total,Units,Index,,Free,,Total
Gabon,GA,GAB,266,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,63,Total,Units,Index,,Free,,Total
Gabon,GA,GAB,266,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,63,Total,Units,Index,,Free,,Total
Gabon,GA,GAB,266,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,62,Total,Units,Index,,Free,,Total
Gabon,GA,GAB,266,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,64,Total,Units,Index,,Free,,Total
Gambia,GM,GMB,270,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,59,Total,Units,Index,,Free,,Total
Gambia,GM,GMB,270,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,61,Total,Units,Index,,Free,,Total
Gambia,GM,GMB,270,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,60,Total,Units,Index,,Free,,Total
Gambia,GM,GMB,270,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,61,Total,Units,Index,,Free,,Total
Gambia,GM,GMB,270,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,61,Total,Units,Index,,Free,,Total
Gambia,GM,GMB,270,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,62,Total,Units,Index,,Free,,Total
Gambia,GM,GMB,270,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,64,Total,Units,Index,,Free,,Total
Georgia,GE,GEO,268,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,61,Total,Units,Index,,Free,,Total
Georgia,GE,GEO,268,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,63,Total,Units,Index,,Free,,Total
Georgia,GE,GEO,268,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,71,Total,Units,Index,,Free,,Total
Georgia,GE,GEO,268,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,74,Total,Units,Index,,Free,,Total
Georgia,GE,GEO,268,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,71,Total,Units,Index,,Free,,Total
Georgia,GE,GEO,268,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,73,Total,Units,Index,,Free,,Total
Georgia,GE,GEO,268,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,71,Total,Units,Index,,Free,,Total
Germany,DE,DEU,276,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,90,Total,Units,Index,,Free,,Total
Germany,DE,DEU,276,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,93,Total,Units,Index,,Free,,Total
Germany,DE,DEU,276,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,94,Total,Units,Index,,Free,,Total
Germany,DE,DEU,276,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,93,Total,Units,Index,,Free,,Total
Germany,DE,DEU,276,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,92,Total,Units,Index,,Free,,Total
Germany,DE,DEU,276,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,92,Total,Units,Index,,Free,,Total
Germany,DE,DEU,276,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,92,Total,Units,Index,,Free,,Total
Ghana,GH,GHA,288,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,51,Total,Units,Index,,Free,,Total
Ghana,GH,GHA,288,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,52,Total,Units,Index,,Free,,Total
Ghana,GH,GHA,288,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,58,Total,Units,Index,,Free,,Total
Ghana,GH,GHA,288,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,65,Total,Units,Index,,Free,,Total
Ghana,GH,GHA,288,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,67,Total,Units,Index,,Free,,Total
Ghana,GH,GHA,288,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,68,Total,Units,Index,,Free,,Total
Ghana,GH,GHA,288,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,69,Total,Units,Index,,Free,,Total
Greece,GR,GRC,300,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,76,Total,Units,Index,,Free,,Total
Greece,GR,GRC,300,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,80,Total,Units,Index,,Free,,Total
Greece,GR,GRC,300,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,83,Total,Units,Index,,Free,,Total
Greece,GR,GRC,300,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,84,Total,Units,Index,,Free,,Total
Greece,GR,GRC,300,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,85,Total,Units,Index,,Free,,Total
Greece,GR,GRC,300,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,85,Total,Units,Index,,Free,,Total
Greece,GR,GRC,300,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,86,Total,Units,Index,,Free,,Total
Grenada,GD,GRD,308,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,75,Total,Units,Index,,Free,,Total
Grenada,GD,GRD,308,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,76,Total,Units,Index,,Free,,Total
Grenada,GD,GRD,308,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,76,Total,Units,Index,,Free,,Total
Grenada,GD,GRD,308,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,75,Total,Units,Index,,Free,,Total
Grenada,GD,GRD,308,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,78,Total,Units,Index,,Free,,Total
Grenada,GD,GRD,308,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,79,Total,Units,Index,,Free,,Total
Grenada,GD,GRD,308,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,75,Total,Units,Index,,Free,,Total
Guatemala,GT,GTM,320,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,69,Total,Units,Index,,Free,,Total
Guatemala,GT,GTM,320,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,71,Total,Units,Index,,Free,,Total
Guatemala,GT,GTM,320,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,73,Total,Units,Index,,Free,,Total
Guatemala,GT,GTM,320,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,68,Total,Units,Index,,Free,,Total
Guatemala,GT,GTM,320,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,73,Total,Units,Index,,Free,,Total
Guatemala,GT,GTM,320,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,72,Total,Units,Index,,Free,,Total
Guatemala,GT,GTM,320,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,71,Total,Units,Index,,Free,,Total
Guinea,GN,GIN,324,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,32,Total,Units,Index,,Free,,Total
Guinea,GN,GIN,324,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,39,Total,Units,Index,,Free,,Total
Guinea,GN,GIN,324,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,40,Total,Units,Index,,Free,,Total
Guinea,GN,GIN,324,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,36,Total,Units,Index,,Free,,Total
Guinea,GN,GIN,324,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,40,Total,Units,Index,,Free,,Total
Guinea,GN,GIN,324,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,48,Total,Units,Index,,Free,,Total
Guinea,GN,GIN,324,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,50,Total,Units,Index,,Free,,Total
Guinea-Bissau,GW,GNB,624,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,45,Total,Units,Index,,Free,,Total
Guinea-Bissau,GW,GNB,624,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,53,Total,Units,Index,,Free,,Total
Guinea-Bissau,GW,GNB,624,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,58,Total,Units,Index,,Free,,Total
Guinea-Bissau,GW,GNB,624,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,56,Total,Units,Index,,Free,,Total
Guinea-Bissau,GW,GNB,624,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,59,Total,Units,Index,,Free,,Total
Guinea-Bissau,GW,GNB,624,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,62,Total,Units,Index,,Free,,Total
Guinea-Bissau,GW,GNB,624,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,60,Total,Units,Index,,Free,,Total
Guyana,GY,GUY,328,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,73,Total,Units,Index,,Free,,Total
Guyana,GY,GUY,328,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,71,Total,Units,Index,,Free,,Total
Guyana,GY,GUY,328,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,75,Total,Units,Index,,Free,,Total
Guyana,GY,GUY,328,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,79,Total,Units,Index,,Free,,Total
Guyana,GY,GUY,328,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,80,Total,Units,Index,,Free,,Total
Guyana,GY,GUY,328,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,81,Total,Units,Index,,Free,,Total
Guyana,GY,GUY,328,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,79,Total,Units,Index,,Free,,Total
Haiti,HT,HTI,332,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,38,Total,Units,Index,,Free,,Total
Haiti,HT,HTI,332,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,44,Total,Units,Index,,Free,,Total
Haiti,HT,HTI,332,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,51,Total,Units,Index,,Free,,Total
Haiti,HT,HTI,332,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,51,Total,Units,Index,,Free,,Total
Haiti,HT,HTI,332,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,51,Total,Units,Index,,Free,,Total
Haiti,HT,HTI,332,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,48,Total,Units,Index,,Free,,Total
Haiti,HT,HTI,332,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,49,Total,Units,Index,,Free,,Total
Honduras,HN,HND,340,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,73,Total,Units,Index,,Free,,Total
Honduras,HN,HND,340,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,75,Total,Units,Index,,Free,,Total
Honduras,HN,HND,340,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,79,Total,Units,Index,,Free,,Total
Honduras,HN,HND,340,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,82,Total,Units,Index,,Free,,Total
Honduras,HN,HND,340,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,81,Total,Units,Index,,Free,,Total
Honduras,HN,HND,340,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,81,Total,Units,Index,,Free,,Total
Honduras,HN,HND,340,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,79,Total,Units,Index,,Free,,Total
Hungary,HU,HUN,348,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,85,Total,Units,Index,,Free,,Total
Hungary,HU,HUN,348,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,86,Total,Units,Index,,Free,,Total
Hungary,HU,HUN,348,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,87,Total,Units,Index,,Free,,Total
Hungary,HU,HUN,348,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,89,Total,Units,Index,,Free,,Total
Hungary,HU,HUN,348,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,89,Total,Units,Index,,Free,,Total
Hungary,HU,HUN,348,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,90,Total,Units,Index,,Free,,Total
Hungary,HU,HUN,348,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,90,Total,Units,Index,,Free,,Total
Iceland,IS,ISL,352,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,93,Total,Units,Index,,Free,,Total
Iceland,IS,ISL,352,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,93,Total,Units,Index,,Free,,Total
Iceland,IS,ISL,352,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,93,Total,Units,Index,,Free,,Total
Iceland,IS,ISL,352,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,92,Total,Units,Index,,Free,,Total
Iceland,IS,ISL,352,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,91,Total,Units,Index,,Free,,Total
Iceland,IS,ISL,352,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,92,Total,Units,Index,,Free,,Total
Iceland,IS,ISL,352,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,92,Total,Units,Index,,Free,,Total
India,IN,IND,356,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,56,Total,Units,Index,,Free,,Total
India,IN,IND,356,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,61,Total,Units,Index,,Free,,Total
India,IN,IND,356,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,73,Total,Units,Index,,Free,,Total
India,IN,IND,356,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,71,Total,Units,Index,,Free,,Total
India,IN,IND,356,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,72,Total,Units,Index,,Free,,Total
India,IN,IND,356,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,71,Total,Units,Index,,Free,,Total
India,IN,IND,356,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,68,Total,Units,Index,,Free,,Total
Indonesia,ID,IDN,360,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,73,Total,Units,Index,,Free,,Total
Indonesia,ID,IDN,360,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,74,Total,Units,Index,,Free,,Total
Indonesia,ID,IDN,360,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,80,Total,Units,Index,,Free,,Total
Indonesia,ID,IDN,360,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,83,Total,Units,Index,,Free,,Total
Indonesia,ID,IDN,360,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,83,Total,Units,Index,,Free,,Total
Indonesia,ID,IDN,360,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,83,Total,Units,Index,,Free,,Total
